Fra-tid;Til-tid;Rådhuset | PM2.5 | µg.m³
5.18.2016 4:00;5.18.2016 5:00;6
5.18.2016 5:00;5.18.2016 6:00;6.6
5.18.2016 6:00;5.18.2016 7:00;7.7
5.18.2016 7:00;5.18.2016 8:00;6.2
5.18.2016 8:00;5.18.2016 9:00;4.6
5.18.2016 9:00;5.18.2016 10:00;6.7
5.18.2016 10:00;5.18.2016 11:00;10.9
5.18.2016 11:00;5.18.2016 12:00;9.1
5.18.2016 12:00;5.18.2016 13:00;8.3
5.18.2016 13:00;5.18.2016 14:00;7.6
5.18.2016 14:00;5.18.2016 15:00;6.2
5.18.2016 15:00;5.18.2016 16:00;8.5
5.18.2016 16:00;5.18.2016 17:00;3.7
5.18.2016 17:00;5.18.2016 18:00;4.7
5.18.2016 18:00;5.18.2016 19:00;3.9
5.18.2016 19:00;5.18.2016 20:00;6
5.18.2016 20:00;5.18.2016 21:00;6.4
5.18.2016 21:00;5.18.2016 22:00;5.6
5.18.2016 22:00;5.18.2016 23:00;6.2
5.18.2016 23:00;5.19.2016 0:00;4.6
5.19.2016 0:00;5.19.2016 1:00;4.8
5.19.2016 1:00;5.19.2016 2:00;4.8
5.19.2016 2:00;5.19.2016 3:00;5.2
5.19.2016 3:00;5.19.2016 4:00;5.2
5.19.2016 4:00;5.19.2016 5:00;5.1
5.19.2016 5:00;5.19.2016 6:00;5.4
5.19.2016 6:00;5.19.2016 7:00;6.3
5.19.2016 7:00;5.19.2016 8:00;6.8
5.19.2016 8:00;5.19.2016 9:00;4.3
5.19.2016 9:00;5.19.2016 10:00;6.6
5.19.2016 10:00;5.19.2016 11:00;6.3
5.19.2016 11:00;5.19.2016 12:00;6.6
5.19.2016 12:00;5.19.2016 13:00;5.7
5.19.2016 13:00;5.19.2016 14:00;3.2
5.19.2016 14:00;5.19.2016 15:00;0
5.19.2016 15:00;5.19.2016 16:00;5.1
5.19.2016 16:00;5.19.2016 17:00;8.6
5.19.2016 17:00;5.19.2016 18:00;5.1
5.19.2016 18:00;5.19.2016 19:00;1.6
5.19.2016 19:00;5.19.2016 20:00;4.7
5.19.2016 20:00;5.19.2016 21:00;5.9
5.19.2016 21:00;5.19.2016 22:00;9
5.19.2016 22:00;5.19.2016 23:00;4.8
5.19.2016 23:00;5.20.2016 0:00;4.1
5.20.2016 0:00;5.20.2016 1:00;4.2
5.20.2016 1:00;5.20.2016 2:00;5.9
5.20.2016 2:00;5.20.2016 3:00;6.3
5.20.2016 3:00;5.20.2016 4:00;6.1
5.20.2016 4:00;5.20.2016 5:00;3.6
5.20.2016 5:00;5.20.2016 6:00;4
5.20.2016 6:00;5.20.2016 7:00;5.4
5.20.2016 7:00;5.20.2016 8:00;6
5.20.2016 8:00;5.20.2016 9:00;5.4
5.20.2016 9:00;5.20.2016 10:00;3.3
5.20.2016 10:00;5.20.2016 11:00;4.3
5.20.2016 11:00;5.20.2016 12:00;6.3
5.20.2016 12:00;5.20.2016 13:00;6.1
5.20.2016 13:00;5.20.2016 14:00;6.7
5.20.2016 14:00;5.20.2016 15:00;8.4
5.20.2016 15:00;5.20.2016 16:00;8.5
5.20.2016 16:00;5.20.2016 17:00;8
5.20.2016 17:00;5.20.2016 18:00;7.7
5.20.2016 18:00;5.20.2016 19:00;9.3
5.20.2016 19:00;5.20.2016 20:00;8.5
5.20.2016 20:00;5.20.2016 21:00;9.3
5.20.2016 21:00;5.20.2016 22:00;7.1
5.20.2016 22:00;5.20.2016 23:00;7.6
5.20.2016 23:00;5.21.2016 0:00;5.6
5.21.2016 0:00;5.21.2016 1:00;5.6
5.21.2016 1:00;5.21.2016 2:00;5.1
5.21.2016 2:00;5.21.2016 3:00;5.2
5.21.2016 3:00;5.21.2016 4:00;4.8
5.21.2016 4:00;5.21.2016 5:00;6.2
5.21.2016 5:00;5.21.2016 6:00;5
5.21.2016 6:00;5.21.2016 7:00;6.5
5.21.2016 7:00;5.21.2016 8:00;6.7
5.21.2016 8:00;5.21.2016 9:00;3.9
5.21.2016 9:00;5.21.2016 10:00;3
5.21.2016 10:00;5.21.2016 11:00;1.9
5.21.2016 11:00;5.21.2016 12:00;2.7
5.21.2016 12:00;5.21.2016 13:00;3.6
5.21.2016 13:00;5.21.2016 14:00;3.5
5.21.2016 14:00;5.21.2016 15:00;4.4
5.21.2016 15:00;5.21.2016 16:00;4.4
5.21.2016 16:00;5.21.2016 17:00;3.4
5.21.2016 17:00;5.21.2016 18:00;4.1
5.21.2016 18:00;5.21.2016 19:00;3.3
5.21.2016 19:00;5.21.2016 20:00;4.4
5.21.2016 20:00;5.21.2016 21:00;5.5
5.21.2016 21:00;5.21.2016 22:00;4.6
5.21.2016 22:00;5.21.2016 23:00;4.3
5.21.2016 23:00;5.22.2016 0:00;4.3
5.22.2016 0:00;5.22.2016 1:00;2.5
5.22.2016 1:00;5.22.2016 2:00;2.9
5.22.2016 2:00;5.22.2016 3:00;3.5
5.22.2016 3:00;5.22.2016 4:00;2.5
5.22.2016 4:00;5.22.2016 5:00;5.6
5.22.2016 5:00;5.22.2016 6:00;6.6
5.22.2016 6:00;5.22.2016 7:00;4.9
5.22.2016 7:00;5.22.2016 8:00;4.7
5.22.2016 8:00;5.22.2016 9:00;4.7
5.22.2016 9:00;5.22.2016 10:00;6.1
5.22.2016 10:00;5.22.2016 11:00;5
5.22.2016 11:00;5.22.2016 12:00;4.7
5.22.2016 12:00;5.22.2016 13:00;3.9
5.22.2016 13:00;5.22.2016 14:00;6
5.22.2016 14:00;5.22.2016 15:00;5.5
5.22.2016 15:00;5.22.2016 16:00;6.8
5.22.2016 16:00;5.22.2016 17:00;7.7
5.22.2016 17:00;5.22.2016 18:00;8.3
5.22.2016 18:00;5.22.2016 19:00;6.7
5.22.2016 19:00;5.22.2016 20:00;6.1
5.22.2016 20:00;5.22.2016 21:00;6.1
5.22.2016 21:00;5.22.2016 22:00;6.7
5.22.2016 22:00;5.22.2016 23:00;6.6
5.22.2016 23:00;5.23.2016 0:00;5.5
5.23.2016 0:00;5.23.2016 1:00;6.6
5.23.2016 1:00;5.23.2016 2:00;7.7
5.23.2016 2:00;5.23.2016 3:00;6.2
5.23.2016 3:00;5.23.2016 4:00;8.1
5.23.2016 4:00;5.23.2016 5:00;6.6
5.23.2016 5:00;5.23.2016 6:00;4.7
